Género,Categoría,Fecha,Medalla,Nombre,Apellido,País,Arrancada,Dos_tiempos,Total
Femenino,+87 kg,2019-01-01,Bronce,Emily,Campbell,Reino Unido,115,145,260
Femenino,+87 kg,2020-01-01,Bronce,Melike,Günal,Turquía,108,135,243
Femenino,+87 kg,2019-01-01,Oro,Tatiana,Kashirina,Rusia,146,185,331
Femenino,+87 kg,2020-01-01,Oro,Emily,Campbell,Reino Unido,122,154,276
Femenino,+87 kg,2019-01-01,Plata,Anastasiya,Lysenko,Ucrania,120,148,268
Femenino,+87 kg,2020-01-01,Plata,Anastasiya,Lysenko,Ucrania,116,136,252
Femenino,45 kg,2019-01-01,Bronce,Yuliya,Asayonak,Bielorrusia,69,81,150
Femenino,45 kg,2020-01-01,Bronce,Melisa,Güneş,Turquía,68,83,151
Femenino,45 kg,2019-01-01,Oro,Şaziye,Erdoğan,Turquía,75,88,163
Femenino,45 kg,2020-01-01,Oro,Nadezhda,Nguen,Bulgaria,72,83,155
Femenino,45 kg,2019-01-01,Plata,Ivana,Petrova,Bulgaria,69,89,158
Femenino,45 kg,2020-01-01,Plata,Ivana,Petrova,Bulgaria,67,85,152
Femenino,49 kg,2019-01-01,Bronce,Giorgia,Russo,Italia,75,103,178
Femenino,49 kg,2020-01-01,Bronce,Mihaela,Cambei,Rumania,80,100,180
Femenino,49 kg,2019-01-01,Oro,Elena,Andrieș,Rumania,87,103,190
Femenino,49 kg,2020-01-01,Oro,Monica,Csengeri,Rumania,86,103,189
Femenino,49 kg,2019-01-01,Plata,Kristina,Sobol,Rusia,85,95,180
Femenino,49 kg,2020-01-01,Plata,Kristina,Sobol,Rusia,85,96,181
Femenino,55 kg,2019-01-01,Bronce,Kristina,Novitskaya,Rusia,85,105,190
Femenino,55 kg,2020-01-01,Bronce,Nina,Sterckx,Bélgica,88,109,197
Femenino,55 kg,2019-01-01,Oro,Joanna,Łochowska,Polonia,87,112,199
Femenino,55 kg,2020-01-01,Oro,Kamila,Konotop,Ucrania,95,113,208
Femenino,55 kg,2019-01-01,Plata,Svetlana,Yershova,Rusia,90,108,198
Femenino,55 kg,2020-01-01,Plata,Svetlana,Yershova,Rusia,88,112,200
Femenino,59 kg,2019-01-01,Bronce,Alexandra,Kozlova,Rusia,96,117,213
Femenino,59 kg,2020-01-01,Bronce,Dora,Tchakounté,Francia,95,115,210
Femenino,59 kg,2019-01-01,Oro,Rebeka,Koha,Letonia,101,120,221
Femenino,59 kg,2020-01-01,Oro,Boyanka,Kostova,Azerbaiyán,95,116,211
Femenino,59 kg,2019-01-01,Plata,Tatiana,Aleyeva,Rusia,94,120,214
Femenino,59 kg,2020-01-01,Plata,Olga,Tio,Rusia,95,115,210
Femenino,64 kg,2019-01-01,Bronce,Zoe,Smith,Reino Unido,96,128,224
Femenino,64 kg,2020-01-01,Bronce,Anastasiya,Anzorova,Rusia,100,122,222
Femenino,64 kg,2019-01-01,Oro,Loredana,Toma,Rumania,111,128,239
Femenino,64 kg,2020-01-01,Oro,Loredana,Toma,Rumania,114,130,244
Femenino,64 kg,2019-01-01,Plata,Irina,Lepșa,Rumania,102,127,229
Femenino,64 kg,2020-01-01,Plata,Sarah,Davies,Reino Unido,101,129,230
Femenino,71 kg,2019-01-01,Bronce,Mădălina,Molie,Rumania,101,114,215
Femenino,71 kg,2020-01-01,Bronce,Raluca,Olaru,Rumania,98,120,218
Femenino,71 kg,2019-01-01,Oro,Anastasiya,Romanova,Rusia,112,128,240
Femenino,71 kg,2020-01-01,Oro,Emily,Godley,Reino Unido,98,129,227
Femenino,71 kg,2019-01-01,Plata,Emily,Godley,Reino Unido,93,123,216
Femenino,71 kg,2020-01-01,Plata,Alessia,Durante,Italia,97,122,219
Femenino,76 kg,2019-01-01,Bronce,Patricia,Strenius,Suecia,101,132,233
Femenino,76 kg,2020-01-01,Bronce,Anastasiya,Romanova,Rusia,111,132,243
Femenino,76 kg,2019-01-01,Oro,Daria,Naumava,Bielorrusia,106,136,242
Femenino,76 kg,2020-01-01,Oro,Iryna,Deja,Ucrania,113,135,248
Femenino,76 kg,2019-01-01,Plata,Lidia,Valentín[2],España,108,133,241
Femenino,76 kg,2020-01-01,Plata,Yana,Sotiyeva,Rusia,112,134,246
Femenino,81 kg,2019-01-01,Bronce,Liana,Guiurdzhian,Armenia,97,120,217
Femenino,81 kg,2020-01-01,Bronce,Liana,Guiurdzhian,Armenia,98,129,227
Femenino,81 kg,2019-01-01,Oro,Nina,Schroth,Alemania,102,120,222
Femenino,81 kg,2020-01-01,Oro,Alina,Marushchak,Ucrania,109,127,236
Femenino,81 kg,2019-01-01,Plata,Anna,Van Bellinghen,Bélgica,103,118,221
Femenino,81 kg,2020-01-01,Plata,Gaëlle,Nayo-Ketchanke,Francia,100,131,231
Femenino,87 kg,2019-01-01,Bronce,Sarah,Fischer,Austria,102,129,231
Femenino,87 kg,2020-01-01,Bronce,Daria,Riazanova,Rusia,105,135,240
Femenino,87 kg,2019-01-01,Oro,Xeniya,Pasjina,Rusia,110,132,242
Femenino,87 kg,2020-01-01,Oro,Daria,Ajmerova,Rusia,108,138,246
Femenino,87 kg,2019-01-01,Plata,Diana,Mstiyeva,Rusia,110,130,240
Femenino,87 kg,2020-01-01,Plata,Elena,Cîlcic,Moldavia,107,138,245
Masculino,+109 kg,2019-01-01,Bronce,Ruben,Alexanian,Armenia,195,245,440
Masculino,+109 kg,2020-01-01,Bronce,Varazdat,Lalayan,Armenia,205,240,445
Masculino,+109 kg,2019-01-01,Oro,Lasha,Talajadze,Georgia,218,260,478
Masculino,+109 kg,2020-01-01,Oro,Lasha,Talajadze,Georgia,222,263,485
Masculino,+109 kg,2019-01-01,Plata,Irakli,Turmanidze,Georgia,206,241,447
Masculino,+109 kg,2020-01-01,Plata,Gor,Minasian,Armenia,216,248,464
Masculino,102 kg,2019-01-01,Bronce,Vadzim,Straltsou,Bielorrusia,170,206,376
Masculino,102 kg,2020-01-01,Bronce,Dadaş,Dadaşbəyli,Azerbaiyán,177,202,379
Masculino,102 kg,2019-01-01,Oro,Dmytro,Chumak,Ucrania,175,216,391
Masculino,102 kg,2020-01-01,Oro,Samvel,Gasparian,Armenia,176,214,390
Masculino,102 kg,2019-01-01,Plata,Samvel,Gasparian,Armenia,168,209,377
Masculino,102 kg,2020-01-01,Plata,Arsen,Martirosian,Armenia,171,209,380
Masculino,109 kg,2019-01-01,Bronce,Rodion,Bochkov,Rusia,192,218,410
Masculino,109 kg,2020-01-01,Bronce,Timur,Naniyev,Rusia,184,217,401
Masculino,109 kg,2019-01-01,Oro,Simon,Martirosian,Armenia,192,235,427
Masculino,109 kg,2020-01-01,Oro,Dmytro,Chumak,Ucrania,181,226,407
Masculino,109 kg,2019-01-01,Plata,Andrei,Aramnau,Bielorrusia,190,221,411
Masculino,109 kg,2020-01-01,Plata,Jristo,Jristov,Bulgaria,186,220,406
Masculino,55 kg,2019-01-01,Bronce,Muammer,Şahin,Turquía,112,135,247
Masculino,55 kg,2020-01-01,Bronce,Dmytro,Voronovsky,Ucrania,110,137,247
Masculino,55 kg,2019-01-01,Oro,Mirco,Scarantino,Italia,116,145,261
Masculino,55 kg,2020-01-01,Oro,Anguel,Rusev,Bulgaria,111,147,258
Masculino,55 kg,2019-01-01,Plata,Anguel,Rusev,Bulgaria,110,146,256
Masculino,55 kg,2020-01-01,Plata,Valentin,Iancu,Rumania,108,140,248
Masculino,61 kg,2019-01-01,Bronce,Ferdi,Hardal,Turquía,127,155,282
Masculino,61 kg,2020-01-01,Bronce,Ferdi,Hardal,Turquía,130,157,287
Masculino,61 kg,2019-01-01,Oro,Henadz,Laptseu,Bielorrusia,133,153,286
Masculino,61 kg,2020-01-01,Oro,Stilian,Grozdev,Bulgaria,136,160,296
Masculino,61 kg,2019-01-01,Plata,Bünyamin,Sezer,Turquía,132,151,283
Masculino,61 kg,2020-01-01,Plata,Shota,Mishvelidze,Georgia,135,155,290
Masculino,67 kg,2019-01-01,Bronce,Goga,Chjeidze,Georgia,139,169,308
Masculino,67 kg,2020-01-01,Bronce,Valentin,Guenchev,Bulgaria,138,177,315
Masculino,67 kg,2019-01-01,Oro,Bernardin,Matam,Francia,137,175,312
Masculino,67 kg,2020-01-01,Oro,Muhammed,Özbek,Turquía,145,178,323
Masculino,67 kg,2019-01-01,Plata,Simon,Brandhuber,Alemania,146,165,311
Masculino,67 kg,2020-01-01,Plata,Mirko,Zanni,Italia,148,170,318
Masculino,73 kg,2019-01-01,Bronce,Vadzim,Lijarad,Bielorrusia,153,182,335
Masculino,73 kg,2020-01-01,Bronce,Briken,Calja,Albania,152,184,336
Masculino,73 kg,2019-01-01,Oro,Bozhidar,Andreev,Bulgaria,153,192,345
Masculino,73 kg,2020-01-01,Oro,Daniyar,İsmayilov,Turquía,160,181,341
Masculino,73 kg,2019-01-01,Plata,Briken,Calja,Albania,156,183,339
Masculino,73 kg,2020-01-01,Plata,Marin,Robu,Moldavia,156,183,339
Masculino,81 kg,2019-01-01,Bronce,Ritvars,Suharevs,Letonia,162,192,354
Masculino,81 kg,2020-01-01,Bronce,Ritvars,Suharevs,Letonia,157,190,347
Masculino,81 kg,2019-01-01,Oro,Antonino,Pizzolato,Italia,155,201,356
Masculino,81 kg,2020-01-01,Oro,Antonino,Pizzolato,Italia,164,206,370
Masculino,81 kg,2019-01-01,Plata,Piotr,Asayonak,Bielorrusia,159,196,355
Masculino,81 kg,2020-01-01,Plata,Karlos,Nasar,Bulgaria,163,206,369
Masculino,89 kg,2019-01-01,Bronce,Davit,Hovhannisian,Armenia,165,195,360
Masculino,89 kg,2020-01-01,Bronce,Andranik,Karapetian,Armenia,170,195,365
Masculino,89 kg,2019-01-01,Oro,Hakob,Mkrtchian,Armenia,164,207,371
Masculino,89 kg,2020-01-01,Oro,Karen,Avaguian,Armenia,175,200,375
Masculino,89 kg,2019-01-01,Plata,Revaz,Davitadze,Georgia,170,200,370
Masculino,89 kg,2020-01-01,Plata,Revaz,Davitadze,Georgia,171,203,374
Masculino,96 kg,2019-01-01,Bronce,Anton,Pliesnoi,Georgia,173,204,377
Masculino,96 kg,2020-01-01,Bronce,Hakob,Mkrtchian,Armenia,160,212,372
Masculino,96 kg,2019-01-01,Oro,Yauheni,Tsijantsou,Bielorrusia,178,222,400
Masculino,96 kg,2020-01-01,Oro,Anton,Pliesnoi,Georgia,180,213,393
Masculino,96 kg,2019-01-01,Plata,Yegor,Klimonov,Rusia,168,210,378
Masculino,96 kg,2020-01-01,Plata,Piotr,Asayonak,Bielorrusia,172,202,374
